"Date","Municipality","Trip Duration","Membership Type","No of Trips","Miles Travelled"
"11/1/2013","Arlington, VA","<0.5 hr","Annual","11443","12954"
"11/1/2013","Arlington, VA","0.5 - 1 hr","24-hr Pass","274","0"
"11/1/2013","Arlington, VA","0.5 - 1 hr","Annual","240","0"
"11/1/2013","Arlington, VA","1 - 1.5 hr","24-hr Pass","131","0"
"11/1/2013","Arlington, VA","1 - 1.5 hr","Annual","21","0"
"11/1/2013","Arlington, VA","1.5 - 2 hr","24-hr Pass","53","0"
"11/1/2013","Arlington, VA","1.5 - 2 hr","Annual","6","0"
"11/1/2013","Arlington, VA","2 - 3 hr","24-hr Pass","41","0"
"11/1/2013","Arlington, VA","2 - 3 hr","Annual","6","0"
"11/1/2013","Arlington, VA","3 - 4 hr","24-hr Pass","14","0"
"11/1/2013","Arlington, VA","3 - 4 hr","Annual","1","0"
"11/1/2013","Arlington, VA","4 - 5 hr","24-hr Pass","17","0"
"11/1/2013","Arlington, VA","4 - 5 hr","Annual","1","0"
"11/1/2013","Arlington, VA","5 - 24 hr","24-hr Pass","6","0"
"11/1/2013","Arlington, VA","5 - 24 hr","Annual","2","0"
"11/1/2013","Rest of Montgomery County","<0.5 hr","24-hr Pass","150","0"
"11/1/2013","Rest of Montgomery County","<0.5 hr","Annual","1196","2475"
"11/1/2013","Rest of Montgomery County","0.5 - 1 hr","24-hr Pass","74","0"
"11/1/2013","Rest of Montgomery County","0.5 - 1 hr","Annual","106","0"
"11/1/2013","Rest of Montgomery County","1 - 1.5 hr","24-hr Pass","70","0"
"11/1/2013","Rest of Montgomery County","1 - 1.5 hr","Annual","6","0"
"11/1/2013","Rest of Montgomery County","1.5 - 2 hr","24-hr Pass","32","0"
"11/1/2013","Rest of Montgomery County","1.5 - 2 hr","Annual","2","0"
"11/1/2013","Rest of Montgomery County","2 - 3 hr","24-hr Pass","19","0"
"11/1/2013","Rest of Montgomery County","2 - 3 hr","Annual","4","0"
"11/1/2013","Rest of Montgomery County","3 - 4 hr","24-hr Pass","0","0"
"11/1/2013","Rest of Montgomery County","3 - 4 hr","Annual","0","0"
"11/1/2013","Rest of Montgomery County","4 - 5 hr","24-hr Pass","1","0"
"11/1/2013","Rest of Montgomery County","4 - 5 hr","Annual","2","0"
"11/1/2013","Rest of Montgomery County","5 - 24 hr","24-hr Pass","4","0"
"11/1/2013","Rest of Montgomery County","5 - 24 hr","Annual","2","0"
"11/1/2013","Rockville/Shady Grove","<0.5 hr","24-hr Pass","51","0"
"11/1/2013","Rockville/Shady Grove","<0.5 hr","Annual","187","227"
"11/1/2013","Rockville/Shady Grove","0.5 - 1 hr","24-hr Pass","9","0"
"11/1/2013","Rockville/Shady Grove","0.5 - 1 hr","Annual","2","0"
"11/1/2013","Rockville/Shady Grove","1 - 1.5 hr","24-hr Pass","7","0"
"11/1/2013","Rockville/Shady Grove","1 - 1.5 hr","Annual","0","0"
"11/1/2013","Rockville/Shady Grove","1.5 - 2 hr","24-hr Pass","0","0"
"11/1/2013","Rockville/Shady Grove","1.5 - 2 hr","Annual","0","0"
"11/1/2013","Rockville/Shady Grove","2 - 3 hr","24-hr Pass","4","0"
"11/1/2013","Rockville/Shady Grove","2 - 3 hr","Annual","1","0"
"11/1/2013","Rockville/Shady Grove","3 - 4 hr","24-hr Pass","0","0"
"11/1/2013","Rockville/Shady Grove","3 - 4 hr","Annual","0","0"
"11/1/2013","Rockville/Shady Grove","4 - 5 hr","24-hr Pass","0","0"
