"Year","Month","Station Name","Municipality","Departures","Arrivals"
"2014","Jul","L'Enfant Plaza / 7th & C St SW","Washington, DC","2206","2059"
"2014","Jul","10th St & Constitution Ave NW","Washington, DC","2711","3052"
"2014","Jul","US Dept of State / Virginia Ave & 21st St NW","Washington, DC","1158","1247"
"2014","Jul","18th & M St NW","Washington, DC","1650","1698"
"2014","Jul","New York Ave & 15th St NW","Washington, DC","3118","3145"
"2014","Jul","Convention Center / 7th & M St NW","Washington, DC","2271","2318"
"2014","Jul","19th & L St NW","Washington, DC","1343","1319"
"2014","Jul","C & O Canal & Wisconsin Ave NW","Washington, DC","1932","2507"
"2014","Jul","34th St & Wisconsin Ave NW","Washington, DC","798","576"
"2014","Jul","13th St & New York Ave NW","Washington, DC","1578","1632"
"2014","Jul","8th & H St NW","Washington, DC","3358","3678"
"2014","Jul","New Hampshire Ave & T St NW","Washington, DC","3934","3818"
"2014","Jul","Metro Center / 12th & G St NW","Washington, DC","2565","2714"
"2014","Jul","14th & D St NW / Ronald Reagan Building","Washington, DC","2733","2970"
"2014","Jul","7th & F St NW / National Portrait Gallery","Washington, DC","3062","3370"
"2014","Jul","17th & K St NW / Farragut Square","Washington, DC","2059","2246"
"2014","Jul","20th & O St NW / Dupont South","Washington, DC","2131","2280"
"2014","Jul","19th St & Constitution Ave NW","Washington, DC","2212","2312"
"2014","Jul","37th & O St NW / Georgetown University","Washington, DC","1361","1340"
"2014","Jul","25th St & Pennsylvania Ave NW","Washington, DC","2596","2767"
"2014","Jul","14th & G St NW","Washington, DC","2184","2362"
"2014","Jul","17th & Rhode Island Ave NW","Washington, DC","2320","2547"
"2014","Jul","Ohio Dr & West Basin Dr SW / MLK & FDR Memorials","Washington, DC","2198","2154"
"2014","Jul","Thomas Circle","Washington, DC","5325","4996"
"2014","Jul","18th St & Pennsylvania Ave NW","Washington, DC","1771","1912"
"2014","Jul","Maryland & Independence Ave SW","Washington, DC","3481","3826"
"2014","Jul","4th & E St SW","Washington, DC","1837","2234"
"2014","Jul","7th & R St NW / Shaw Library","Washington, DC","2118","2210"
"2014","Jul","M St & Pennsylvania Ave NW","Washington, DC","2931","3560"
"2014","Jul","Jefferson Dr & 14th St SW","Washington, DC","7019","7287"
"2014","Jul","Smithsonian / Jefferson Dr & 12th St SW","Washington, DC","4746","5002"
"2014","Jul","Jefferson Memorial","Washington, DC","3994","4002"
"2014","Jul","20th & L St NW","Washington, DC","1072","1053"
